Date,Uncertainty_Index
2010-01-01,0.503719
2010-02-01,0.5312484
2010-03-01,0.5153122
2010-04-01,0.5091604
2010-05-01,0.5077656
2010-06-01,0.51180273
2010-07-01,0.52264494
2010-08-01,0.50727934
2010-09-01,0.50253075
2010-10-01,0.5147142
2010-11-01,0.5141938
2010-12-01,0.5124485
2011-01-01,0.50390613
2011-02-01,0.50083596
2011-03-01,0.49980795
2011-04-01,0.50158614
2011-05-01,0.51191986
2011-06-01,0.5206479
2011-07-01,0.5282598
2011-08-01,0.51733685
2011-09-01,0.5097778
2011-10-01,0.51553005
2011-11-01,0.50301915
2011-12-01,0.5227819
2012-01-01,0.5243918
2012-02-01,0.5051196
2012-03-01,0.5087639
2012-04-01,0.5161048
2012-05-01,0.52263963
2012-06-01,0.51791155
2012-07-01,0.51769334
2012-08-01,0.5068615
2012-09-01,0.518661
2012-10-01,0.511071
2012-11-01,0.51826745
2012-12-01,0.51668257
2013-01-01,0.5146566
2013-02-01,0.521608
2013-03-01,0.52887124
2013-04-01,0.5264894
2013-05-01,0.5131244
2013-06-01,0.50850505
2013-07-01,0.5177113
2013-08-01,0.5009669
2013-09-01,0.515488
2013-10-01,0.5214774
2013-11-01,0.503604
2013-12-01,0.5327367
2014-01-01,0.510918
2014-02-01,0.51420635
2014-03-01,0.52372164
2014-04-01,0.51814353
2014-05-01,0.5096241
2014-06-01,0.5051069
2014-07-01,0.507368
2014-08-01,0.52208936
2014-09-01,0.5086501
2014-10-01,0.50197625
2014-11-01,0.5169334
2014-12-01,0.49518102
2015-01-01,0.5085751
2015-02-01,0.5059276
2015-03-01,0.49887577
2015-04-01,0.5053974
2015-05-01,0.50484926
2015-06-01,0.5048906
2015-07-01,0.49500713
2015-08-01,0.50273234
2015-09-01,0.5083669
2015-10-01,0.50304645
2015-11-01,0.5044562
2015-12-01,0.51116085
2016-01-01,0.5075232
2016-02-01,0.506879
2016-03-01,0.515407
2016-04-01,0.5158416
2016-05-01,0.520491
2016-06-01,0.50149024
2016-07-01,0.5081758
2016-08-01,0.5014665
2016-09-01,0.5024234
2016-10-01,0.502685
2016-11-01,0.50440204
2016-12-01,0.5237333
2017-01-01,0.50336653
2017-02-01,0.5199696
2017-03-01,0.49646866
2017-04-01,0.5295368
2017-05-01,0.5227776
2017-06-01,0.5091228
2017-07-01,0.5176019
2017-08-01,0.4947518
2017-09-01,0.49130473
2017-10-01,0.5155997
2017-11-01,0.50200564
2017-12-01,0.51629245
2018-01-01,0.5402844
2018-02-01,0.50287175
2018-03-01,0.50653356
2018-04-01,0.4996084
2018-05-01,0.5058652
2018-06-01,0.5084559
2018-07-01,0.5079608
2018-08-01,0.49787575
2018-09-01,0.51639
2018-10-01,0.50942594
2018-11-01,0.50338763
2018-12-01,0.51818126
2019-01-01,0.50496835
2019-02-01,0.5147906
2019-03-01,0.505935
2019-04-01,0.52251625
2019-05-01,0.53006446
2019-06-01,0.5067168
2019-07-01,0.51339245
2019-08-01,0.5022632
2019-09-01,0.5033182
2019-10-01,0.52486503
2019-11-01,0.5099282
2019-12-01,0.5099056
2020-01-01,0.5041855
2020-02-01,0.4988733
2020-03-01,0.5206787
2020-04-01,0.5093872
2020-05-01,0.5107229
2020-06-01,0.52256215
2020-07-01,0.51916254
2020-08-01,0.5084613
2020-09-01,0.53004616
2020-10-01,0.50691456
2020-11-01,0.51063055
2020-12-01,0.507206
2021-01-01,0.50878173
2021-02-01,0.52454686
2021-03-01,0.51441973
2021-04-01,0.50598
2021-05-01,0.50239044
2021-06-01,0.50834876
2021-07-01,0.50313747
2021-08-01,0.49900466
2021-09-01,0.5095549
2021-10-01,0.5066661
2021-11-01,0.5128793
2021-12-01,0.5027898
2022-01-01,0.51348394
2022-02-01,0.5077447
2022-03-01,0.52210766
2022-04-01,0.51109546
2022-05-01,0.49878597
2022-06-01,0.521597
2022-07-01,0.5009889
2022-08-01,0.504753
2022-09-01,0.5204751
2022-10-01,0.5132885
2022-11-01,0.50778705
2022-12-01,0.5128047
2023-01-01,0.5162803
2023-02-01,0.50159687
2023-03-01,0.51886016
2023-04-01,0.5057696
2023-05-01,0.50357264
2023-06-01,0.49930122
2023-07-01,0.49926582
2023-08-01,0.51792
2023-09-01,0.5045529
2023-10-01,0.5228529
2023-11-01,0.49513048
2023-12-01,0.50729436
2024-01-01,0.49979472
2024-02-01,0.49379906
2024-03-01,0.50830555
2024-04-01,0.49942803
2024-05-01,0.505648
2024-06-01,0.5126801
2024-07-01,0.4966175
2024-08-01,0.49547637
2024-09-01,0.5081809
2024-10-01,0.50037605
2024-11-01,0.5092994
2024-12-01,0.50831497
2025-01-01,0.5051927
2025-02-01,0.49650553
2025-03-01,0.50293523
2025-04-01,0.51519656
2025-05-01,0.5183284
2025-06-01,0.5040714
2025-07-01,0.49831754
2025-08-01,0.51985306
2025-09-01,0.49528345
2025-10-01,0.49896282
2025-11-01,0.5011445
2025-12-01,0.5190152
2026-01-01,0.52295536
2026-02-01,0.5211861
